subset,id_str,object_id,tile_index,RA,DEC,segmentation_area,flux_vis_1fwhm_aper,expert_score,grade,expert_total_votes
discovery_engine,102159777_2720499121668371807,2720499121668371807,102159777,272.0499121136218,66.83718079086594,28666.0,40.457889556884766,1.2378024255971407,C,10
discovery_engine,102158589_2738592709648339236,2738592709648339236,102158589,273.8592709214204,64.8339236692911,2273.0,3.568880558013916,2.0181234906125023,A,10
discovery_engine,102159778_2736434076667775432,2736434076667775432,102159778,273.64340762448904,66.77754328119592,708.0,2.7746834754943848,1.0581050924301494,C,10
discovery_engine,102158890_2680102426653109132,2680102426653109132,102158890,268.01024269914507,65.31091328269127,398.0,1.309406042098999,1.0133767445265285,C,10
discovery_engine,102160607_2684058176685650370,2684058176685650370,102160607,268.4058176178527,68.56503705310696,891.0,1.86909294128418,1.953685266957373,B,10
discovery_engine,102159776_2709831432669176733,2709831432669176733,102159776,270.98314326444563,66.91767333254768,391.0,1.476775050163269,0.996283065648314,C,9
discovery_engine,102160339_2724927436681622603,2724927436681622603,102160339,272.49274362253294,68.16226034111882,464.0,1.1523709297180176,0.5538815892922396,C,10
discovery_engine,102160058_2683815088673613848,2683815088673613848,102160058,268.3815088853475,67.36138489388141,503.0,1.0683695077896118,0.7845206515966494,C,10
discovery_engine,102160337_2709410383682273946,2709410383682273946,102160337,270.94103835376234,68.22739463537619,981.0,4.371216297149658,0.5104652275350532,C,10
discovery_engine,102157953_2670867930641857555,2670867930641857555,102157953,267.08679308652177,64.18575550938476,1051.0,4.57563591003418,0.7575052713387197,C,10
discovery_engine,102159193_2709229125660833136,2709229125660833136,102159193,270.92291251906494,66.08331360079913,6416.0,21.480018615722656,0.9149714036347836,C,10
discovery_engine,102159489_2724545600662816467,2724545600662816467,102159489,272.4545600019229,66.2816467473405,403.0,1.848139762878418,0.9878860663244792,C,9
discovery_engine,102160338_2712566659678939210,2712566659678939210,102160338,271.2566659076072,67.89392101005797,637.0,1.0582202672958374,0.7009129154508795,C,9
discovery_engine,102158893_2718451148653685387,2718451148653685387,102158893,271.84511483300264,65.36853870666421,3144.0,12.820045471191406,0.5319197060311607,C,10
discovery_engine,102158891_2695961403655036750,2695961403655036750,102158891,269.59614037712146,65.50367505814947,698.0,2.251554489135742,0.7319197060311606,C,10
discovery_engine,102158584_2686855325651108603,2686855325651108603,102158584,268.6855325160297,65.11086038477805,2363.0,2.6261661052703857,0.8285670483940081,C,10
discovery_engine,102158896_2756881489656234545,2756881489656234545,102158896,275.68814899345534,65.62345453548319,1787.0,5.077724456787109,0.9538815892922397,C,10
discovery_engine,102159778_2735388492668334512,2735388492668334512,102159778,273.5388492925768,66.83345126411697,383.0,2.2438464164733887,0.8038969141106701,C,10
discovery_engine,102158583_2674724083652311112,2674724083652311112,102158583,267.47240838269994,65.231111272144,7979.0,19.94060516357422,1.2319197060311606,C,10
discovery_engine,102160876_2735099303688319834,2735099303688319834,102160876,273.50993038212664,68.8319834442498,362.0,2.024719715118408,1.05353754920072,C,10
discovery_engine,102160060_2716552208674838777,2716552208674838777,102160060,271.65522085429484,67.48387774961559,1858.0,5.498316287994385,1.7366244980194965,B,10
discovery_engine,102159186_2625065502659556125,2625065502659556125,102159186,262.50655024434434,65.9556125442265,2557.0,9.120389938354492,1.3551873969255284,C,10
discovery_engine,102159490_2744893361664602862,2744893361664602862,102159490,274.4893361921933,66.46028624033477,1361.0,7.0057902336120605,1.1030748433547355,C,10
discovery_engine,102160335_2672455703679061608,2672455703679061608,102160335,267.24557034640503,67.90616080609756,4475.0,12.822853088378906,0.9703103131506292,C,10
discovery_engine,102158590_2758066062650843967,2758066062650843967,102158590,275.8066062674231,65.084396763564,2014.0,6.803145408630371,1.2523992360847085,C,11
discovery_engine,102160338_2712384210679392079,2712384210679392079,102160338,271.2384210836177,67.93920791430314,5906.0,7.06798791885376,2.196648784278528,A,10
discovery_engine,102158584_2688054361648826754,2688054361648826754,102158584,268.80543613154765,64.88267549138783,869.0,3.61294150352478,1.7101882891410525,B,9
discovery_engine,102160062_2737885272675946208,2737885272675946208,102160062,273.7885272800835,67.59462081153471,410.0,1.6052173376083374,0.8101882891410526,C,9
discovery_engine,102160057_2675394832674529222,2675394832674529222,102160057,267.53948323469814,67.45292229889787,786.0,1.2994091510772705,0.9329502090716348,C,10
discovery_engine,102158590_2749972211650622428,2749972211650622428,102158590,274.99722117943384,65.06224281149053,305.0,0.9939180612564088,1.3651251070789117,C,10
discovery_engine,102158588_2733245445650036972,2733245445650036972,102158588,273.3245445437747,65.00369729909544,3694.0,5.262092113494873,0.785899365989533,C,10
discovery_engine,102160062_2738460691675239507,2738460691675239507,102160062,273.8460691095558,67.52395071396087,6441.0,13.12510108947754,1.9164716922934453,B,10
discovery_engine,102157956_2704460679641062301,2704460679641062301,102157956,270.446067973659,64.1062301023037,1188.0,5.605636119842529,0.7245609038970502,C,9
discovery_engine,102157958_2727137773639721420,2727137773639721420,102157958,272.713777307259,63.97214203825033,4371.0,12.43886375427246,2.154630319244951,A,15
discovery_engine,102158894_2734190810654662437,2734190810654662437,102158894,273.41908107288185,65.46624370914466,1225.0,2.744068622589112,0.8887076947303996,C,9
discovery_engine,102157956_2695046853638479184,2695046853638479184,102157956,269.50468537766204,63.84791845246926,1644.0,3.0062155723571777,1.575507360361916,B,10
discovery_engine,102159486_2689454589663308985,2689454589663308985,102159486,268.945458985677,66.33089855777907,1234.0,5.01836633682251,0.7260231492114322,C,10
